district,hhsize,room_in_house_1,room_in_house_2,room_in_house_3,room_in_house_4,room_in_house_5,room_in_house_6,room_in_house_7,room_in_house_8,room_in_house_9
GHOTKI DISTRICT,4 PERSONS,30151,5429,1252,390,116,49,129,11,33
GHOTKI DISTRICT,5 PERSONS,28393,6357,1692,523,169,80,176,20,38
GHOTKI DISTRICT,6 PERSONS,25382,6861,1863,614,196,90,162,21,32
GHOTKI DISTRICT,7 PERSONS,20821,6464,1612,581,164,55,136,14,27
GHOTKI DISTRICT,8 PERSONS,15702,5480,1393,502,148,63,106,14,25
GHOTKI DISTRICT,9 PERSONS,10109,4294,1134,410,116,56,80,12,27
GHOTKI DISTRICT,10 PERSONS AND ABOVE,13191,7982,3220,1334,443,235,185,63,108
GUJRANWALA DISTRICT,1 PERSON,4988,3257,1736,949,426,269,124,66,103
GUJRANWALA DISTRICT,2 PERSONS,10795,10679,5606,2880,1062,676,330,153,238
GUJRANWALA DISTRICT,3 PERSONS,14857,17795,10670,5325,2026,1269,559,290,331
GUJRANWALA DISTRICT,4 PERSONS,18943,28094,17945,9582,3694,2191,888,579,631
GUJRANWALA DISTRICT,5 PERSONS,22513,38967,27199,14794,5837,3444,1323,829,863
GUJRANWALA DISTRICT,6 PERSONS,21341,42046,30567,17253,6707,4093,1608,958,989
GUJRANWALA DISTRICT,7 PERSONS,14078,32468,25564,15018,5906,3607,1461,923,857
GUJRANWALA DISTRICT,8 PERSONS,7964,21597,18117,11408,4643,2933,1141,823,749
GUJRANWALA DISTRICT,9 PERSONS,3896,12604,12317,8330,3571,2425,969,663,612
GUJRANWALA DISTRICT,10 PERSONS AND ABOVE,4425,17895,25987,25083,12983,10500,4462,3789,4152
GUJRAT DISTRICT,1 PERSON,2881,3307,2061,1256,592,477,212,140,263
GUJRAT DISTRICT,2 PERSONS,5052,8634,5480,2960,1318,849,356,280,393
GUJRAT DISTRICT,3 PERSONS,6409,12717,9094,5199,2044,1208,467,387,466
GUJRAT DISTRICT,4 PERSONS,8249,18887,14207,8100,3278,1872,780,546,640
GUJRAT DISTRICT,5 PERSONS,9107,22646,18780,10834,4636,2593,1072,703,822
GUJRAT DISTRICT,6 PERSONS,7690,21672,18569,11205,4680,2828,1140,738,902
GUJRAT DISTRICT,7 PERSONS,4980,15404,14143,9238,3861,2381,996,674,762
GUJRAT DISTRICT,8 PERSONS,2791,9685,9527,6730,3039,1895,778,649,710
GUJRAT DISTRICT,9 PERSONS,1516,5559,5933,4840,2188,1598,600,478,579
GUJRAT DISTRICT,10 PERSONS AND ABOVE,1889,8155,11859,11936,6783,5462,2408,2116,3132
GWADAR DISTRICT,1 PERSON,588,88,40,12,4,2,4,,4
GWADAR DISTRICT,2 PERSONS,2345,474,131,41,12,4,7,2,12
GWADAR DISTRICT,3 PERSONS,2838,809,252,84,31,8,26,7,25
GWADAR DISTRICT,4 PERSONS,3189,1350,380,127,40,22,32,7,32
GWADAR DISTRICT,5 PERSONS,2844,1625,463,167,53,14,33,8,32
GWADAR DISTRICT,6 PERSONS,2286,1721,599,203,56,20,23,12,19
GWADAR DISTRICT,7 PERSONS,1623,1544,603,208,82,21,21,12,13
GWADAR DISTRICT,8 PERSONS,1060,1400,646,227,63,28,27,12,15
GWADAR DISTRICT,9 PERSONS,582,1014,543,238,66,41,23,9,9
GWADAR DISTRICT,10 PERSONS AND ABOVE,713,1683,1437,1001,424,258,115,87,139
HAFIZABAD DISTRICT,1 PERSON,1414,999,453,217,90,61,24,16,30
HAFIZABAD DISTRICT,2 PERSONS,3235,2674,1268,570,191,101,51,36,40
HAFIZABAD DISTRICT,3 PERSONS,4138,4318,2384,1064,369,198,77,48,62
HAFIZABAD DISTRICT,4 PERSONS,5317,6751,3960,2032,738,334,151,81,88
HAFIZABAD DISTRICT,5 PERSONS,6460,9655,6064,3019,1177,598,241,148,151
HAFIZABAD DISTRICT,6 PERSONS,5898,10220,6717,3485,1339,724,291,180,162
HAFIZABAD DISTRICT,7 PERSONS,3949,8058,5557,3095,1196,634,252,132,141
HAFIZABAD DISTRICT,8 PERSONS,2314,5390,4044,2390,1019,561,198,147,119
HAFIZABAD DISTRICT,9 PERSONS,1126,3188,2796,1764,755,440,178,111,110
HAFIZABAD DISTRICT,10 PERSONS AND ABOVE,1272,4888,6177,5497,2957,2111,876,671,745
HANGU DISTRICT,1 PERSON,229,107,56,27,24,9,11,3,9
HANGU DISTRICT,2 PERSONS,547,438,160,86,45,18,11,10,14
HANGU DISTRICT,3 PERSONS,600,598,306,142,60,39,9,9,15
HANGU DISTRICT,4 PERSONS,684,901,485,244,100,47,22,9,22
HANGU DISTRICT,5 PERSONS,797,1325,821,371,157,62,31,16,35
HANGU DISTRICT,6 PERSONS,706,1585,958,587,217,114,45,34,54
HANGU DISTRICT,7 PERSONS,566,1393,1122,687,262,131,62,29,56
HANGU DISTRICT,8 PERSONS,428,1277,1110,714,301,159,65,65,58
HANGU DISTRICT,9 PERSONS,240,918,1021,725,327,180,70,45,63
HANGU DISTRICT,10 PERSONS AND ABOVE,395,2034,4076,4689,3342,2382,1323,1011,1603
HARIPUR DISTRICT,1 PERSON,2238,1432,593,262,105,58,22,13,31
HARIPUR DISTRICT,2 PERSONS,3850,4235,1723,764,247,109,54,28,35
HARIPUR DISTRICT,3 PERSONS,4075,5934,2905,1312,381,181,89,52,54
HARIPUR DISTRICT,4 PERSONS,4644,8593,4742,2310,739,335,127,76,82
HARIPUR DISTRICT,5 PERSONS,4538,10332,6380,3221,1134,519,241,119,90
HARIPUR DISTRICT,6 PERSONS,3455,9078,6332,3575,1287,637,227,134,124
HARIPUR DISTRICT,7 PERSONS,1913,6269,4873,2982,1109,628,201,111,123
HARIPUR DISTRICT,8 PERSONS,1048,3762,3516,2384,921,526,175,127,107
HARIPUR DISTRICT,9 PERSONS,526,2043,2189,1772,801,446,186,99,111
HARIPUR DISTRICT,10 PERSONS AND ABOVE,556,2731,4157,4498,2596,1988,920,721,871
HARNAI DISTRICT,1 PERSON,289,61,44,14,5,,3,,1
HARNAI DISTRICT,2 PERSONS,1545,561,198,73,36,39,18,17,18
HARNAI DISTRICT,3 PERSONS,991,588,236,68,39,17,19,12,16
HARNAI DISTRICT,4 PERSONS,872,692,318,99,47,33,25,14,19
HARNAI DISTRICT,5 PERSONS,718,718,416,120,54,32,14,10,22
HARNAI DISTRICT,6 PERSONS,584,683,449,145,69,36,14,13,20
HARNAI DISTRICT,7 PERSONS,417,609,409,160,74,26,18,18,16
HARNAI DISTRICT,8 PERSONS,280,468,327,168,40,20,16,6,22
HARNAI DISTRICT,9 PERSONS,171,335,271,106,53,28,8,10,19
HARNAI DISTRICT,10 PERSONS AND ABOVE,231,429,459,282,151,79,41,34,49
HYDERABAD DISTRICT,1 PERSON,10432,2500,1422,628,264,228,105,68,94
HYDERABAD DISTRICT,2 PERSONS,34422,9934,4982,2155,857,717,410,196,312
HYDERABAD DISTRICT,3 PERSONS,36508,13200,6450,2579,940,827,444,206,344
HYDERABAD DISTRICT,4 PERSONS,38604,17701,9020,3616,1283,1031,533,305,401
HYDERABAD DISTRICT,5 PERSONS,33412,19030,10159,3942,1402,1143,534,290,354
HYDERABAD DISTRICT,6 PERSONS,25292,16660,8632,3474,1087,950,478,243,314
HYDERABAD DISTRICT,7 PERSONS,16351,11404,5733,2379,792,598,302,144,190
HYDERABAD DISTRICT,8 PERSONS,9542,7776,3925,1564,546,402,211,98,139
HYDERABAD DISTRICT,9 PERSONS,5359,4831,2441,1086,381,289,145,68,84
HYDERABAD DISTRICT,10 PERSONS AND ABOVE,5483,6673,4697,2770,1229,933,395,229,308
JACOBABAD DISTRICT,1 PERSON,3654,409,116,67,20,8,29,5,19
JACOBABAD DISTRICT,2 PERSONS,18330,1841,548,267,80,34,123,19,74
JACOBABAD DISTRICT,3 PERSONS,17494,2465,649,256,107,35,131,43,65
JACOBABAD DISTRICT,4 PERSONS,18819,3439,895,368,111,33,136,33,70
JACOBABAD DISTRICT,5 PERSONS,17654,3711,1083,396,125,51,163,36,66
JACOBABAD DISTRICT,6 PERSONS,15977,3754,1077,382,99,56,159,25,57
JACOBABAD DISTRICT,7 PERSONS,13370,3604,1043,360,103,38,113,29,75
JACOBABAD DISTRICT,8 PERSONS,10095,3066,918,373,104,43,98,29,38
JACOBABAD DISTRICT,9 PERSONS,6756,2379,751,285,89,35,64,13,37
JACOBABAD DISTRICT,10 PERSONS AND ABOVE,9066,4299,1849,887,288,137,180,55,84
JAFFARABAD DISTRICT,1 PERSON,1332,178,59,13,,5,5,,2
JAFFARABAD DISTRICT,2 PERSONS,7197,771,241,71,25,8,36,6,10
JAFFARABAD DISTRICT,3 PERSONS,6089,1075,280,99,22,11,33,5,11
JAFFARABAD DISTRICT,4 PERSONS,6438,1446,435,111,35,12,37,13,4
JAFFARABAD DISTRICT,5 PERSONS,6222,1759,529,170,51,9,41,8,6
JAFFARABAD DISTRICT,6 PERSONS,5834,1956,549,215,50,20,55,8,11
JAFFARABAD DISTRICT,7 PERSONS,5147,2095,646,209,64,23,38,6,5
JAFFARABAD DISTRICT,8 PERSONS,4141,1965,628,247,57,21,28,9,10
JAFFARABAD DISTRICT,9 PERSONS,2960,1655,598,235,74,31,28,3,6
JAFFARABAD DISTRICT,10 PERSONS AND ABOVE,5103,4010,1967,1029,315,180,138,72,83
JAMSHORO DISTRICT,1 PERSON,5333,836,320,101,35,23,42,10,16
JAMSHORO DISTRICT,2 PERSONS,18461,2972,724,307,95,53,156,19,41
JAMSHORO DISTRICT,3 PERSONS,16924,3905,1000,347,119,52,134,20,39
JAMSHORO DISTRICT,4 PERSONS,17637,5337,1403,445,162,74,143,33,53
JAMSHORO DISTRICT,5 PERSONS,16019,5871,1701,537,186,64,158,38,41
JAMSHORO DISTRICT,6 PERSONS,13764,6008,1890,609,189,79,127,30,52
JAMSHORO DISTRICT,7 PERSONS,10162,5043,1663,562,145,54,125,25,39
JAMSHORO DISTRICT,8 PERSONS,6999,3914,1354,439,162,61,90,18,32
JAMSHORO DISTRICT,9 PERSONS,4161,2719,992,339,119,47,65,23,20
JAMSHORO DISTRICT,10 PERSONS AND ABOVE,5148,4570,2533,1204,486,248,161,91,104
JHAL MAGSI DISTRICT,1 PERSON,262,35,7,3,1,,,,1
JHAL MAGSI DISTRICT,2 PERSONS,2578,439,77,10,7,5,8,1,4
JHAL MAGSI DISTRICT,3 PERSONS,2126,513,109,18,2,6,9,,1
JHAL MAGSI DISTRICT,4 PERSONS,2084,758,149,33,7,3,10,,2
JHAL MAGSI DISTRICT,5 PERSONS,1752,913,189,41,5,5,6,,5
JHAL MAGSI DISTRICT,6 PERSONS,1563,1032,257,45,8,4,5,3,1
JHAL MAGSI DISTRICT,7 PERSONS,1320,1006,279,73,15,4,4,,
JHAL MAGSI DISTRICT,8 PERSONS,926,866,300,80,9,1,2,1,
JHAL MAGSI DISTRICT,9 PERSONS,646,697,296,97,16,2,8,1,1
JHAL MAGSI DISTRICT,10 PERSONS AND ABOVE,866,1142,706,251,88,23,16,8,10
JHANG DISTRICT,1 PERSON,5562,2575,1032,472,234,116,63,23,58
JHANG DISTRICT,2 PERSONS,14228,9463,3077,1315,500,220,134,66,100
JHANG DISTRICT,3 PERSONS,14959,13222,4994,2021,775,373,224,89,91
JHANG DISTRICT,4 PERSONS,17116,18790,7795,3457,1262,539,320,118,161
JHANG DISTRICT,5 PERSONS,17615,24445,11702,5035,1934,788,429,191,210
JHANG DISTRICT,6 PERSONS,15120,25543,13164,5990,2251,1038,547,207,227
JHANG DISTRICT,7 PERSONS,10163,20717,11688,5720,2323,1031,477,216,249
JHANG DISTRICT,8 PERSONS,5922,14267,9196,4884,1976,943,398,206,214
JHANG DISTRICT,9 PERSONS,2975,8953,6836,4025,1730,812,329,194,211
JHANG DISTRICT,10 PERSONS AND ABOVE,3301,12312,14433,12207,6737,4250,1941,1336,1693
JHELUM DISTRICT,1 PERSON,1949,1927,1240,771,351,212,89,81,86
JHELUM DISTRICT,2 PERSONS,2601,4932,3064,1701,691,398,182,113,174
JHELUM DISTRICT,3 PERSONS,2856,6552,4951,2525,1050,624,276,151,169
JHELUM DISTRICT,4 PERSONS,3546,9385,7374,4115,1675,936,424,218,237
JHELUM DISTRICT,5 PERSONS,3538,10899,9746,5555,2372,1231,487,286,280
JHELUM DISTRICT,6 PERSONS,2828,9483,9426,5684,2325,1307,550,301,307
JHELUM DISTRICT,7 PERSONS,1737,6185,6612,4520,2049,1121,499,267,296
JHELUM DISTRICT,8 PERSONS,803,3699,4399,3305,1490,932,382,244,254
JHELUM DISTRICT,9 PERSONS,458,1975,2649,2285,1138,748,316,210,217
JHELUM DISTRICT,10 PERSONS AND ABOVE,549,2510,4409,4792,2971,2411,1054,876,1061
KACHHI DISTRICT,1 PERSON,514,179,47,23,5,3,2,,1
KACHHI DISTRICT,2 PERSONS,1968,833,159,96,13,4,10,,4
KACHHI DISTRICT,3 PERSONS,1719,1146,258,105,27,5,11,,10
KACHHI DISTRICT,4 PERSONS,1602,1645,431,136,20,13,11,2,5
KACHHI DISTRICT,5 PERSONS,1341,1777,549,210,39,17,15,2,4
KACHHI DISTRICT,6 PERSONS,1125,1957,643,242,49,19,17,7,11
KACHHI DISTRICT,7 PERSONS,879,1857,742,297,76,34,16,8,10
KACHHI DISTRICT,8 PERSONS,671,1755,854,327,76,41,27,14,17
KACHHI DISTRICT,9 PERSONS,469,1327,910,322,90,34,25,23,19
KACHHI DISTRICT,10 PERSONS AND ABOVE,747,2848,3359,2139,739,454,232,187,240
KALAT DISTRICT,1 PERSON,433,187,81,59,21,7,6,4,16
KALAT DISTRICT,2 PERSONS,1323,1050,497,277,90,68,69,24,50
KALAT DISTRICT,3 PERSONS,1062,1365,729,388,175,127,65,36,77
KALAT DISTRICT,4 PERSONS,1124,1772,1050,653,220,148,106,44,102
KALAT DISTRICT,5 PERSONS,984,1714,1333,795,279,186,117,52,101
KALAT DISTRICT,6 PERSONS,834,1708,1467,1006,312,233,163,59,133
KALAT DISTRICT,7 PERSONS,692,1582,1355,1048,417,267,158,78,85
KALAT DISTRICT,8 PERSONS,566,1261,1340,1041,441,337,187,103,111
KALAT DISTRICT,9 PERSONS,433,1046,1140,974,404,343,192,105,143
KALAT DISTRICT,10 PERSONS AND ABOVE,807,2030,2941,2731,1465,1268,732,567,1171
KAMBAR SHAHDAD KOT DISTRICT,1 PERSON,3690,409,125,70,19,15,29,10,11
KAMBAR SHAHDAD KOT DISTRICT,2 PERSONS,21046,2626,908,339,115,60,127,31,41
KAMBAR SHAHDAD KOT DISTRICT,3 PERSONS,19000,3061,896,371,108,57,145,32,49
KAMBAR SHAHDAD KOT DISTRICT,4 PERSONS,19852,4209,1202,392,143,77,159,30,62
KAMBAR SHAHDAD KOT DISTRICT,5 PERSONS,19270,5039,1371,468,176,75,150,27,63
KAMBAR SHAHDAD KOT DISTRICT,6 PERSONS,17490,5576,1615,539,187,93,141,27,67
KAMBAR SHAHDAD KOT DISTRICT,7 PERSONS,15104,5644,1674,535,151,75,134,25,38
KAMBAR SHAHDAD KOT DISTRICT,8 PERSONS,12012,5061,1578,577,139,76,121,36,42
KAMBAR SHAHDAD KOT DISTRICT,9 PERSONS,8273,4113,1270,517,125,70,110,13,43
KAMBAR SHAHDAD KOT DISTRICT,10 PERSONS AND ABOVE,12850,8809,3848,1700,584,325,313,98,112
KARACHI CENTRAL DISTRICT,1 PERSON,8323,3550,2673,1222,377,152,86,58,142
KARACHI CENTRAL DISTRICT,2 PERSONS,15582,13864,9466,4421,1251,468,224,126,213
KARACHI CENTRAL DISTRICT,3 PERSONS,18971,20324,14511,6554,1908,597,269,201,261
KARACHI CENTRAL DISTRICT,4 PERSONS,22384,30897,22932,11254,2981,997,433,320,349
KARACHI CENTRAL DISTRICT,5 PERSONS,19700,32620,25852,13149,3983,1421,527,416,510
KARACHI CENTRAL DISTRICT,6 PERSONS,13385,25447,20211,10976,3313,1518,482,489,427
KARACHI CENTRAL DISTRICT,7 PERSONS,7829,16325,12250,6863,2374,1255,379,399,367
KARACHI CENTRAL DISTRICT,8 PERSONS,4315,9996,7578,4571,1587,1007,293,344,286
KARACHI CENTRAL DISTRICT,9 PERSONS,2206,5999,4914,3117,1217,812,259,262,247
KARACHI CENTRAL DISTRICT,10 PERSONS AND ABOVE,2782,9164,10096,8748,4489,3968,1259,1754,2114
KARACHI EAST DISTRICT,1 PERSON,7903,3660,3526,2199,1250,286,125,108,196
KARACHI EAST DISTRICT,2 PERSONS,11947,9991,9646,6261,3521,734,325,202,385
KARACHI EAST DISTRICT,3 PERSONS,14135,13539,12835,8535,4765,982,405,252,422
KARACHI EAST DISTRICT,4 PERSONS,16363,19822,19137,13532,7438,1471,599,401,617
KARACHI EAST DISTRICT,5 PERSONS,15320,21399,20906,14793,8941,1835,768,486,687
KARACHI EAST DISTRICT,6 PERSONS,12135,18186,16690,11790,7176,1923,697,509,708
KARACHI EAST DISTRICT,7 PERSONS,7810,12725,10563,7050,4498,1393,574,406,524
KARACHI EAST DISTRICT,8 PERSONS,4823,8776,7274,4386,2647,1047,364,366,391
KARACHI EAST DISTRICT,9 PERSONS,2689,5775,4922,3077,1953,799,299,288,348
KARACHI EAST DISTRICT,10 PERSONS AND ABOVE,4186,10952,11764,8714,5652,3641,1362,1547,2134
KARACHI SOUTH DISTRICT,1 PERSON,7230,3929,2279,1041,538,413,199,134,144
KARACHI SOUTH DISTRICT,2 PERSONS,10721,8989,4944,2080,1004,566,305,145,167
KARACHI SOUTH DISTRICT,3 PERSONS,12527,12418,6898,2510,1179,637,363,163,173
KARACHI SOUTH DISTRICT,4 PERSONS,14530,18646,10864,4050,1714,905,442,236,257
KARACHI SOUTH DISTRICT,5 PERSONS,12841,20389,12426,4646,1956,1129,550,283,320
KARACHI SOUTH DISTRICT,6 PERSONS,8927,16543,10678,4261,1693,1022,459,298,302
KARACHI SOUTH DISTRICT,7 PERSONS,5270,10688,7269,3020,1170,811,330,234,234
KARACHI SOUTH DISTRICT,8 PERSONS,2777,6348,4837,2221,776,590,232,190,169
KARACHI SOUTH DISTRICT,9 PERSONS,1496,3779,3309,1638,617,487,182,157,143
KARACHI SOUTH DISTRICT,10 PERSONS AND ABOVE,1949,6051,7591,5419,2349,2116,759,750,911
KARACHI WEST DISTRICT,1 PERSON,11073,3695,1633,531,238,128,74,50,64
KARACHI WEST DISTRICT,2 PERSONS,23271,12824,4999,1819,688,371,272,118,141
KARACHI WEST DISTRICT,3 PERSONS,29119,20657,8409,2702,972,582,363,140,228
KARACHI WEST DISTRICT,4 PERSONS,33855,31922,13674,4342,1477,731,504,215,286
KARACHI WEST DISTRICT,5 PERSONS,30051,37885,18332,5527,1864,932,536,237,337
KARACHI WEST DISTRICT,6 PERSONS,22353,36366,19574,6185,2029,1118,540,224,346
KARACHI WEST DISTRICT,7 PERSONS,13653,27193,16809,5545,1886,975,469,208,317
KARACHI WEST DISTRICT,8 PERSONS,7564,18904,13530,4725,1691,844,381,187,231
KARACHI WEST DISTRICT,9 PERSONS,3764,11927,9981,4081,1494,811,280,166,210
KARACHI WEST DISTRICT,10 PERSONS AND ABOVE,4666,17592,22754,15447,8343,5633,1944,1359,1644
KARAK DISTRICT,1 PERSON,329,179,94,54,20,14,4,2,15
KARAK DISTRICT,2 PERSONS,852,743,315,154,57,23,18,14,14
KARAK DISTRICT,3 PERSONS,864,1026,582,240,121,49,23,9,27
KARAK DISTRICT,4 PERSONS,877,1466,940,423,169,70,37,23,28
KARAK DISTRICT,5 PERSONS,930,1873,1581,759,315,143,71,31,37
KARAK DISTRICT,6 PERSONS,793,2202,2050,1188,489,214,96,41,57
KARAK DISTRICT,7 PERSONS,542,2112,2341,1531,659,315,119,68,63
KARAK DISTRICT,8 PERSONS,366,1741,2270,1658,763,403,142,80,96
KARAK DISTRICT,9 PERSONS,230,1222,1889,1535,771,377,186,78,127
KARAK DISTRICT,10 PERSONS AND ABOVE,355,2009,4824,6162,4834,3599,1995,1513,2487
KASHMORE DISTRICT,1 PERSON,2893,434,140,30,8,5,24,5,7
KASHMORE DISTRICT,2 PERSONS,19167,2488,624,231,83,18,164,24,83
KASHMORE DISTRICT,3 PERSONS,17057,2865,660,226,77,22,154,19,76
KASHMORE DISTRICT,4 PERSONS,18270,3894,933,284,82,29,169,18,93
KASHMORE DISTRICT,5 PERSONS,17330,4290,1078,364,81,31,162,24,88
KASHMORE DISTRICT,6 PERSONS,15719,3941,1160,362,98,37,149,21,66
KASHMORE DISTRICT,7 PERSONS,13219,3771,1050,343,73,27,114,23,66
KASHMORE DISTRICT,8 PERSONS,10234,3367,961,329,74,37,103,20,45
KASHMORE DISTRICT,9 PERSONS,6933,2952,822,281,68,27,75,13,41
KASHMORE DISTRICT,10 PERSONS AND ABOVE,10254,6403,2731,1227,341,162,219,61,123
KASUR DISTRICT,1 PERSON,5480,1823,592,227,80,44,28,9,22
KASUR DISTRICT,2 PERSONS,16945,7417,1872,733,179,96,84,30,39
KASUR DISTRICT,3 PERSONS,21424,12522,3414,1118,323,149,127,40,73
KASUR DISTRICT,4 PERSONS,26333,20083,5949,2107,629,294,205,71,103
KASUR DISTRICT,5 PERSONS,30939,28796,9948,3510,1093,458,313,102,139
KASUR DISTRICT,6 PERSONS,30009,34271,12515,4617,1434,657,357,149,167
KASUR DISTRICT,7 PERSONS,20976,30155,12046,4661,1395,679,368,145,167
KASUR DISTRICT,8 PERSONS,12827,22669,10172,4299,1286,621,298,126,151
KASUR DISTRICT,9 PERSONS,6385,14602,7694,3652,1165,592,241,131,144
KASUR DISTRICT,10 PERSONS AND ABOVE,6636,21469,19122,13040,5578,3286,1385,905,1012
KECH DISTRICT,1 PERSON,828,188,43,16,2,2,8,2,4
KECH DISTRICT,2 PERSONS,4051,2018,547,210,42,31,35,3,22
KECH DISTRICT,3 PERSONS,5148,3341,1054,377,95,43,56,16,44
KECH DISTRICT,4 PERSONS,6111,5447,2106,807,194,103,108,40,72
KECH DISTRICT,5 PERSONS,4987,6227,2962,1286,325,195,109,44,86
KECH DISTRICT,6 PERSONS,4144,5970,3649,1918,550,281,176,62,142
KECH DISTRICT,7 PERSONS,2965,4983,4031,2513,872,356,216,118,197
KECH DISTRICT,8 PERSONS,2366,4247,4522,3685,1189,663,339,155,265
KECH DISTRICT,9 PERSONS,1727,2799,3285,3002,1127,653,390,225,243
KECH DISTRICT,10 PERSONS AND ABOVE,2551,4417,5342,5321,2698,1354,799,391,719
KHAIRPUR DISTRICT,1 PERSON,8597,1170,281,103,40,13,50,8,19
KHAIRPUR DISTRICT,2 PERSONS,37958,6321,1053,330,142,48,176,23,58
KHAIRPUR DISTRICT,3 PERSONS,36060,8430,1534,445,125,59,162,15,47
KHAIRPUR DISTRICT,4 PERSONS,37243,11101,2282,672,178,64,232,22,67
KHAIRPUR DISTRICT,5 PERSONS,34840,13256,2986,845,263,93,224,29,69
KHAIRPUR DISTRICT,6 PERSONS,31430,14421,3404,1160,287,118,234,37,60
KHAIRPUR DISTRICT,7 PERSONS,24776,13415,3266,1086,282,112,217,34,55
KHAIRPUR DISTRICT,8 PERSONS,18468,11121,3006,1006,261,103,139,24,48
KHAIRPUR DISTRICT,9 PERSONS,11707,8500,2463,860,201,107,111,19,30
