district,material,location,owned,rented,rentfree
LAHORE DISTRICT,Others,Roof,17736,8239,3095
LAKKI MARWAT DISTRICT,Baked Bricks / Blocks / Stone,Wall,40967,2771,835
LAKKI MARWAT DISTRICT,Unbaked Bricks / Mud,Wall,43792,1233,1681
LAKKI MARWAT DISTRICT,Wood / Bamboo,Wall,2091,48,116
LAKKI MARWAT DISTRICT,Others,Wall,3656,80,257
LAKKI MARWAT DISTRICT,Rcc / Rbc,Roof,999,177,75
LAKKI MARWAT DISTRICT,Cement / Iron Sheets,Roof,971,138,30
LAKKI MARWAT DISTRICT,Garder / T.Iron,Roof,41523,2348,831
LAKKI MARWAT DISTRICT,Wood / Bamboo,Roof,40957,1291,1650
LAKKI MARWAT DISTRICT,Others,Roof,6056,178,303
LARKANA DISTRICT,Baked Bricks / Blocks / Stone,Wall,114021,16057,2686
LARKANA DISTRICT,Unbaked Bricks / Mud,Wall,94222,4504,3103
LARKANA DISTRICT,Wood / Bamboo,Wall,17686,634,1238
LARKANA DISTRICT,Others,Wall,4357,288,615
LARKANA DISTRICT,Rcc / Rbc,Roof,6233,2257,263
LARKANA DISTRICT,Cement / Iron Sheets,Roof,7583,889,371
LARKANA DISTRICT,Garder / T.Iron,Roof,110206,13597,2085
LARKANA DISTRICT,Wood / Bamboo,Roof,102051,4453,4350
LARKANA DISTRICT,Others,Roof,4213,287,573
LASBELA DISTRICT,Baked Bricks / Blocks / Stone,Wall,32698,6836,1494
LASBELA DISTRICT,Unbaked Bricks / Mud,Wall,31343,243,958
LASBELA DISTRICT,Wood / Bamboo,Wall,12696,184,1387
LASBELA DISTRICT,Others,Wall,2927,109,214
LASBELA DISTRICT,Rcc / Rbc,Roof,5616,2397,731
LASBELA DISTRICT,Cement / Iron Sheets,Roof,14292,1648,436
LASBELA DISTRICT,Garder / T.Iron,Roof,27142,2918,513
LASBELA DISTRICT,Wood / Bamboo,Roof,29719,295,2008
LASBELA DISTRICT,Others,Roof,2895,114,365
LAYYAH DISTRICT,Baked Bricks / Blocks / Stone,Wall,208978,7732,6077
LAYYAH DISTRICT,Unbaked Bricks / Mud,Wall,47144,795,3678
LAYYAH DISTRICT,Wood / Bamboo,Wall,2008,101,439
LAYYAH DISTRICT,Others,Wall,4029,128,619
LAYYAH DISTRICT,Rcc / Rbc,Roof,8518,1139,475
LAYYAH DISTRICT,Cement / Iron Sheets,Roof,3003,181,102
LAYYAH DISTRICT,Garder / T.Iron,Roof,212248,6231,5568
LAYYAH DISTRICT,Wood / Bamboo,Roof,34759,1043,3910
LAYYAH DISTRICT,Others,Roof,3631,162,758
LODHRAN DISTRICT,Baked Bricks / Blocks / Stone,Wall,197470,5910,7205
LODHRAN DISTRICT,Unbaked Bricks / Mud,Wall,41736,509,4785
LODHRAN DISTRICT,Wood / Bamboo,Wall,1501,42,335
LODHRAN DISTRICT,Others,Wall,2558,65,513
LODHRAN DISTRICT,Rcc / Rbc,Roof,11644,1263,384
LODHRAN DISTRICT,Cement / Iron Sheets,Roof,2290,114,131
LODHRAN DISTRICT,Garder / T.Iron,Roof,200856,4435,7604
LODHRAN DISTRICT,Wood / Bamboo,Roof,26014,637,4199
LODHRAN DISTRICT,Others,Roof,2461,77,520
LORALAI DISTRICT,Baked Bricks / Blocks / Stone,Wall,3162,803,438
LORALAI DISTRICT,Unbaked Bricks / Mud,Wall,33088,3454,4963
LORALAI DISTRICT,Wood / Bamboo,Wall,4668,560,978
LORALAI DISTRICT,Others,Wall,1072,98,742
LORALAI DISTRICT,Rcc / Rbc,Roof,1074,379,302
LORALAI DISTRICT,Cement / Iron Sheets,Roof,1000,268,81
LORALAI DISTRICT,Garder / T.Iron,Roof,6918,825,291
LORALAI DISTRICT,Wood / Bamboo,Roof,31800,3292,5543
LORALAI DISTRICT,Others,Roof,1198,151,904
LOWER DIR DISTRICT,Baked Bricks / Blocks / Stone,Wall,112293,4749,3727
LOWER DIR DISTRICT,Unbaked Bricks / Mud,Wall,20278,2305,2056
LOWER DIR DISTRICT,Wood / Bamboo,Wall,4987,678,444
LOWER DIR DISTRICT,Others,Wall,2007,108,156
LOWER DIR DISTRICT,Rcc / Rbc,Roof,61082,2839,1016
LOWER DIR DISTRICT,Cement / Iron Sheets,Roof,11873,544,324
LOWER DIR DISTRICT,Garder / T.Iron,Roof,3368,291,161
LOWER DIR DISTRICT,Wood / Bamboo,Roof,60758,4030,4717
LOWER DIR DISTRICT,Others,Roof,2484,136,165
MALAKAND PROTECTED AREA,Baked Bricks / Blocks / Stone,Wall,59736,6958,2884
MALAKAND PROTECTED AREA,Unbaked Bricks / Mud,Wall,10580,3191,2894
MALAKAND PROTECTED AREA,Wood / Bamboo,Wall,1684,687,367
MALAKAND PROTECTED AREA,Others,Wall,987,145,178
MALAKAND PROTECTED AREA,Rcc / Rbc,Roof,40586,4286,1242
MALAKAND PROTECTED AREA,Cement / Iron Sheets,Roof,6795,867,310
MALAKAND PROTECTED AREA,Garder / T.Iron,Roof,5957,763,703
MALAKAND PROTECTED AREA,Wood / Bamboo,Roof,18129,4859,3886
MALAKAND PROTECTED AREA,Others,Roof,1520,206,182
MALIR DISTRICT,Baked Bricks / Blocks / Stone,Wall,186292,96486,8005
MALIR DISTRICT,Unbaked Bricks / Mud,Wall,10037,3431,444
MALIR DISTRICT,Wood / Bamboo,Wall,5624,666,1631
MALIR DISTRICT,Others,Wall,2725,1664,313
MALIR DISTRICT,Rcc / Rbc,Roof,91347,54916,5164
MALIR DISTRICT,Cement / Iron Sheets,Roof,72477,31098,2125
MALIR DISTRICT,Garder / T.Iron,Roof,27806,13277,1003
MALIR DISTRICT,Wood / Bamboo,Roof,8881,918,1764
MALIR DISTRICT,Others,Roof,4167,2038,337
MANDI BAHAUDDIN DISTRICT,Baked Bricks / Blocks / Stone,Wall,215468,12104,13439
MANDI BAHAUDDIN DISTRICT,Unbaked Bricks / Mud,Wall,4598,1384,771
MANDI BAHAUDDIN DISTRICT,Wood / Bamboo,Wall,1094,143,410
MANDI BAHAUDDIN DISTRICT,Others,Wall,1939,160,497
MANDI BAHAUDDIN DISTRICT,Rcc / Rbc,Roof,53369,5590,2078
MANDI BAHAUDDIN DISTRICT,Cement / Iron Sheets,Roof,19890,1301,2655
MANDI BAHAUDDIN DISTRICT,Garder / T.Iron,Roof,87260,3353,3799
MANDI BAHAUDDIN DISTRICT,Wood / Bamboo,Roof,59616,3340,5998
MANDI BAHAUDDIN DISTRICT,Others,Roof,2964,207,587
MANSEHRA DISTRICT,Baked Bricks / Blocks / Stone,Wall,165131,16751,7612
MANSEHRA DISTRICT,Unbaked Bricks / Mud,Wall,30923,2780,4907
MANSEHRA DISTRICT,Wood / Bamboo,Wall,1925,288,491
MANSEHRA DISTRICT,Others,Wall,3375,590,457
MANSEHRA DISTRICT,Rcc / Rbc,Roof,68327,10199,2465
MANSEHRA DISTRICT,Cement / Iron Sheets,Roof,107971,7448,6159
MANSEHRA DISTRICT,Garder / T.Iron,Roof,1559,229,206
MANSEHRA DISTRICT,Wood / Bamboo,Roof,18676,1855,3703
MANSEHRA DISTRICT,Others,Roof,4821,678,934
MARDAN DISTRICT,Baked Bricks / Blocks / Stone,Wall,208074,25608,9580
MARDAN DISTRICT,Unbaked Bricks / Mud,Wall,35639,7584,14054
MARDAN DISTRICT,Wood / Bamboo,Wall,2233,530,1244
MARDAN DISTRICT,Others,Wall,2474,459,570
MARDAN DISTRICT,Rcc / Rbc,Roof,121732,14411,3940
MARDAN DISTRICT,Cement / Iron Sheets,Roof,18307,1886,913
MARDAN DISTRICT,Garder / T.Iron,Roof,46707,5819,3277
MARDAN DISTRICT,Wood / Bamboo,Roof,58543,11459,16539
MARDAN DISTRICT,Others,Roof,3131,606,779
MASTUNG DISTRICT,Baked Bricks / Blocks / Stone,Wall,2203,94,198
MASTUNG DISTRICT,Unbaked Bricks / Mud,Wall,26881,500,2573
MASTUNG DISTRICT,Wood / Bamboo,Wall,3350,119,431
MASTUNG DISTRICT,Others,Wall,1435,20,459
MASTUNG DISTRICT,Rcc / Rbc,Roof,666,23,115
MASTUNG DISTRICT,Cement / Iron Sheets,Roof,1283,30,68
MASTUNG DISTRICT,Garder / T.Iron,Roof,8449,225,260
MASTUNG DISTRICT,Wood / Bamboo,Roof,22067,435,2784
MASTUNG DISTRICT,Others,Roof,1404,20,434
MATIARI DISTRICT,Baked Bricks / Blocks / Stone,Wall,73000,2625,4508
MATIARI DISTRICT,Unbaked Bricks / Mud,Wall,29415,537,10172
MATIARI DISTRICT,Wood / Bamboo,Wall,12229,150,6667
MATIARI DISTRICT,Others,Wall,1757,39,1157
MATIARI DISTRICT,Rcc / Rbc,Roof,6990,597,418
MATIARI DISTRICT,Cement / Iron Sheets,Roof,3559,61,283
MATIARI DISTRICT,Garder / T.Iron,Roof,69360,2090,3894
MATIARI DISTRICT,Wood / Bamboo,Roof,34896,559,16825
MATIARI DISTRICT,Others,Roof,1596,44,1084
MIANWALI DISTRICT,Baked Bricks / Blocks / Stone,Wall,190009,12798,6494
MIANWALI DISTRICT,Unbaked Bricks / Mud,Wall,17126,631,1974
MIANWALI DISTRICT,Wood / Bamboo,Wall,2930,114,573
MIANWALI DISTRICT,Others,Wall,4335,296,672
MIANWALI DISTRICT,Rcc / Rbc,Roof,10758,6552,805
MIANWALI DISTRICT,Cement / Iron Sheets,Roof,3120,348,156
MIANWALI DISTRICT,Garder / T.Iron,Roof,147880,5088,3805
MIANWALI DISTRICT,Wood / Bamboo,Roof,47328,1433,4068
MIANWALI DISTRICT,Others,Roof,5314,418,879
MIRPUR KHAS DISTRICT,Baked Bricks / Blocks / Stone,Wall,98214,10478,9885
MIRPUR KHAS DISTRICT,Unbaked Bricks / Mud,Wall,50517,1517,32693
MIRPUR KHAS DISTRICT,Wood / Bamboo,Wall,37506,605,32935
MIRPUR KHAS DISTRICT,Others,Wall,4284,168,5845
MIRPUR KHAS DISTRICT,Rcc / Rbc,Roof,27907,5756,3232
MIRPUR KHAS DISTRICT,Cement / Iron Sheets,Roof,3488,247,482
MIRPUR KHAS DISTRICT,Garder / T.Iron,Roof,59443,4222,5674
MIRPUR KHAS DISTRICT,Wood / Bamboo,Roof,96083,2366,68515
MIRPUR KHAS DISTRICT,Others,Roof,3600,177,3455
MOHMAND AGENCY,Baked Bricks / Blocks / Stone,Wall,11503,227,585
MOHMAND AGENCY,Unbaked Bricks / Mud,Wall,29786,248,1005
MOHMAND AGENCY,Wood / Bamboo,Wall,3234,39,118
MOHMAND AGENCY,Others,Wall,2535,35,69
MOHMAND AGENCY,Rcc / Rbc,Roof,2010,168,102
MOHMAND AGENCY,Cement / Iron Sheets,Roof,1022,15,22
MOHMAND AGENCY,Garder / T.Iron,Roof,7126,76,147
MOHMAND AGENCY,Wood / Bamboo,Roof,34391,252,1433
MOHMAND AGENCY,Others,Roof,2509,38,73
MULTAN DISTRICT,Baked Bricks / Blocks / Stone,Wall,523150,73898,21676
MULTAN DISTRICT,Unbaked Bricks / Mud,Wall,107259,3993,10277
MULTAN DISTRICT,Wood / Bamboo,Wall,7001,717,1235
MULTAN DISTRICT,Others,Wall,7311,897,1418
MULTAN DISTRICT,Rcc / Rbc,Roof,141502,33036,6590
MULTAN DISTRICT,Cement / Iron Sheets,Roof,12269,2172,496
MULTAN DISTRICT,Garder / T.Iron,Roof,382935,34614,13027
MULTAN DISTRICT,Wood / Bamboo,Roof,99905,8376,13050
MULTAN DISTRICT,Others,Roof,8110,1307,1443
MUSAKHEL DISTRICT,Baked Bricks / Blocks / Stone,Wall,9841,60,91
MUSAKHEL DISTRICT,Unbaked Bricks / Mud,Wall,8967,211,91
MUSAKHEL DISTRICT,Wood / Bamboo,Wall,2728,21,25
MUSAKHEL DISTRICT,Others,Wall,2249,14,27
MUSAKHEL DISTRICT,Rcc / Rbc,Roof,440,11,28
MUSAKHEL DISTRICT,Cement / Iron Sheets,Roof,316,13,3
MUSAKHEL DISTRICT,Garder / T.Iron,Roof,3463,19,15
MUSAKHEL DISTRICT,Wood / Bamboo,Roof,17282,252,162
MUSAKHEL DISTRICT,Others,Roof,2284,11,26
MUZAFFARGARH DISTRICT,Baked Bricks / Blocks / Stone,Wall,419493,15201,8538
MUZAFFARGARH DISTRICT,Unbaked Bricks / Mud,Wall,188320,1633,6319
MUZAFFARGARH DISTRICT,Wood / Bamboo,Wall,9731,186,817
MUZAFFARGARH DISTRICT,Others,Wall,7629,212,803
MUZAFFARGARH DISTRICT,Rcc / Rbc,Roof,20402,4550,1251
MUZAFFARGARH DISTRICT,Cement / Iron Sheets,Roof,10651,484,486
MUZAFFARGARH DISTRICT,Garder / T.Iron,Roof,441868,9941,7049
MUZAFFARGARH DISTRICT,Wood / Bamboo,Roof,143278,2049,6777
MUZAFFARGARH DISTRICT,Others,Roof,8974,208,914
NANKANA SAHIB DISTRICT,Baked Bricks / Blocks / Stone,Wall,171957,9888,10401
NANKANA SAHIB DISTRICT,Unbaked Bricks / Mud,Wall,12519,505,6587
NANKANA SAHIB DISTRICT,Wood / Bamboo,Wall,1069,53,305
NANKANA SAHIB DISTRICT,Others,Wall,1883,85,526
NANKANA SAHIB DISTRICT,Rcc / Rbc,Roof,24913,2909,1182
NANKANA SAHIB DISTRICT,Cement / Iron Sheets,Roof,4022,344,347
NANKANA SAHIB DISTRICT,Garder / T.Iron,Roof,102167,4250,4975
NANKANA SAHIB DISTRICT,Wood / Bamboo,Roof,53121,2857,10414
NANKANA SAHIB DISTRICT,Others,Roof,3205,171,901
NAROWAL DISTRICT,Baked Bricks / Blocks / Stone,Wall,215715,7596,3103
NAROWAL DISTRICT,Unbaked Bricks / Mud,Wall,9045,199,205
NAROWAL DISTRICT,Wood / Bamboo,Wall,1182,56,104
NAROWAL DISTRICT,Others,Wall,2658,86,116
NAROWAL DISTRICT,Rcc / Rbc,Roof,70112,4506,966
NAROWAL DISTRICT,Cement / Iron Sheets,Roof,5521,251,126
NAROWAL DISTRICT,Garder / T.Iron,Roof,104040,2048,1290
NAROWAL DISTRICT,Wood / Bamboo,Roof,44762,1028,974
NAROWAL DISTRICT,Others,Roof,4165,104,172
NASIRABAD DISTRICT,Baked Bricks / Blocks / Stone,Wall,7306,929,416
NASIRABAD DISTRICT,Unbaked Bricks / Mud,Wall,28354,1050,9018
NASIRABAD DISTRICT,Wood / Bamboo,Wall,5746,153,3916
NASIRABAD DISTRICT,Others,Wall,3654,108,3652
NASIRABAD DISTRICT,Rcc / Rbc,Roof,472,292,53
NASIRABAD DISTRICT,Cement / Iron Sheets,Roof,1207,97,139
NASIRABAD DISTRICT,Garder / T.Iron,Roof,13646,748,875
NASIRABAD DISTRICT,Wood / Bamboo,Roof,26678,993,12927
NASIRABAD DISTRICT,Others,Roof,3057,110,3008
NAUSHAHRO FEROZE DISTRICT,Baked Bricks / Blocks / Stone,Wall,118906,8038,2046
NAUSHAHRO FEROZE DISTRICT,Unbaked Bricks / Mud,Wall,105790,1659,5164
NAUSHAHRO FEROZE DISTRICT,Wood / Bamboo,Wall,23859,357,4156
NAUSHAHRO FEROZE DISTRICT,Others,Wall,4889,148,788
NAUSHAHRO FEROZE DISTRICT,Rcc / Rbc,Roof,7217,935,272
NAUSHAHRO FEROZE DISTRICT,Cement / Iron Sheets,Roof,6654,217,102
NAUSHAHRO FEROZE DISTRICT,Garder / T.Iron,Roof,148814,7513,2433
NAUSHAHRO FEROZE DISTRICT,Wood / Bamboo,Roof,86596,1393,8686
NAUSHAHRO FEROZE DISTRICT,Others,Roof,4163,144,661
NORTH WAZIRISTAN AGENCY,Baked Bricks / Blocks / Stone,Wall,11837,361,446
NORTH WAZIRISTAN AGENCY,Unbaked Bricks / Mud,Wall,38667,603,896
NORTH WAZIRISTAN AGENCY,Wood / Bamboo,Wall,2757,83,61
NORTH WAZIRISTAN AGENCY,Others,Wall,2916,114,139
NORTH WAZIRISTAN AGENCY,Rcc / Rbc,Roof,607,198,120
NORTH WAZIRISTAN AGENCY,Cement / Iron Sheets,Roof,887,45,96
NORTH WAZIRISTAN AGENCY,Garder / T.Iron,Roof,28339,238,408
NORTH WAZIRISTAN AGENCY,Wood / Bamboo,Roof,23455,565,773
NORTH WAZIRISTAN AGENCY,Others,Roof,2889,115,145
NOWSHERA DISTRICT,Baked Bricks / Blocks / Stone,Wall,142563,23445,6353
NOWSHERA DISTRICT,Unbaked Bricks / Mud,Wall,13995,2766,1978
NOWSHERA DISTRICT,Wood / Bamboo,Wall,1276,301,336
NOWSHERA DISTRICT,Others,Wall,1647,319,408
NOWSHERA DISTRICT,Rcc / Rbc,Roof,71111,13898,3363
NOWSHERA DISTRICT,Cement / Iron Sheets,Roof,8036,2047,338
NOWSHERA DISTRICT,Garder / T.Iron,Roof,25883,3304,1200
NOWSHERA DISTRICT,Wood / Bamboo,Roof,52418,7226,3799
NOWSHERA DISTRICT,Others,Roof,2033,356,375
NUSHKI DISTRICT,Baked Bricks / Blocks / Stone,Wall,2842,407,90
NUSHKI DISTRICT,Unbaked Bricks / Mud,Wall,16093,505,543
NUSHKI DISTRICT,Wood / Bamboo,Wall,1308,15,61
NUSHKI DISTRICT,Others,Wall,350,18,101
NUSHKI DISTRICT,Rcc / Rbc,Roof,559,121,56
NUSHKI DISTRICT,Cement / Iron Sheets,Roof,113,4,6
NUSHKI DISTRICT,Garder / T.Iron,Roof,2985,310,32
NUSHKI DISTRICT,Wood / Bamboo,Roof,16646,494,625
NUSHKI DISTRICT,Others,Roof,290,16,76
OKARA DISTRICT,Baked Bricks / Blocks / Stone,Wall,364383,27047,25801
OKARA DISTRICT,Unbaked Bricks / Mud,Wall,41925,1402,18021
OKARA DISTRICT,Wood / Bamboo,Wall,3060,150,1310
OKARA DISTRICT,Others,Wall,3176,264,1037
OKARA DISTRICT,Rcc / Rbc,Roof,48390,10360,2272
OKARA DISTRICT,Cement / Iron Sheets,Roof,8414,1062,667
OKARA DISTRICT,Garder / T.Iron,Roof,297053,13642,23439
OKARA DISTRICT,Wood / Bamboo,Roof,54011,3329,18435
OKARA DISTRICT,Others,Roof,4676,470,1356
ORAKZAI AGENCY,Baked Bricks / Blocks / Stone,Wall,9005,70,401
ORAKZAI AGENCY,Unbaked Bricks / Mud,Wall,18330,318,773
ORAKZAI AGENCY,Wood / Bamboo,Wall,872,15,34
ORAKZAI AGENCY,Others,Wall,1291,23,45
ORAKZAI AGENCY,Rcc / Rbc,Roof,569,10,34
ORAKZAI AGENCY,Cement / Iron Sheets,Roof,401,13,65
ORAKZAI AGENCY,Garder / T.Iron,Roof,1547,16,87
ORAKZAI AGENCY,Wood / Bamboo,Roof,25383,363,1015
ORAKZAI AGENCY,Others,Roof,1598,24,52
PAKPATTAN DISTRICT,Baked Bricks / Blocks / Stone,Wall,216700,11169,18628
PAKPATTAN DISTRICT,Unbaked Bricks / Mud,Wall,39205,1317,12255
PAKPATTAN DISTRICT,Wood / Bamboo,Wall,1097,76,570
PAKPATTAN DISTRICT,Others,Wall,2378,143,739
PAKPATTAN DISTRICT,Rcc / Rbc,Roof,16776,2530,1046
PAKPATTAN DISTRICT,Cement / Iron Sheets,Roof,2864,257,246
PAKPATTAN DISTRICT,Garder / T.Iron,Roof,211592,8179,19663
PAKPATTAN DISTRICT,Wood / Bamboo,Roof,25073,1469,10184
PAKPATTAN DISTRICT,Others,Roof,3075,270,1053
PANJGUR DISTRICT,Baked Bricks / Blocks / Stone,Wall,4617,108,76
PANJGUR DISTRICT,Unbaked Bricks / Mud,Wall,27352,168,55
PANJGUR DISTRICT,Wood / Bamboo,Wall,7321,72,8
PANJGUR DISTRICT,Others,Wall,2445,33,5
PANJGUR DISTRICT,Rcc / Rbc,Roof,1803,29,60
PANJGUR DISTRICT,Cement / Iron Sheets,Roof,1685,18,7
PANJGUR DISTRICT,Garder / T.Iron,Roof,8558,176,26
PANJGUR DISTRICT,Wood / Bamboo,Roof,28333,145,42
PANJGUR DISTRICT,Others,Roof,1356,13,9
PESHAWAR DISTRICT,Baked Bricks / Blocks / Stone,Wall,243777,108837,10232
PESHAWAR DISTRICT,Unbaked Bricks / Mud,Wall,66676,25929,9978
PESHAWAR DISTRICT,Wood / Bamboo,Wall,5583,3308,671
PESHAWAR DISTRICT,Others,Wall,11497,4717,989
PESHAWAR DISTRICT,Rcc / Rbc,Roof,165388,83145,6322
PESHAWAR DISTRICT,Cement / Iron Sheets,Roof,16907,6851,584
PESHAWAR DISTRICT,Garder / T.Iron,Roof,39067,10326,1926
PESHAWAR DISTRICT,Wood / Bamboo,Roof,94125,37252,12080
PESHAWAR DISTRICT,Others,Roof,12046,5217,958
PISHIN DISTRICT,Baked Bricks / Blocks / Stone,Wall,10800,721,635
PISHIN DISTRICT,Unbaked Bricks / Mud,Wall,83401,1920,7414
PISHIN DISTRICT,Wood / Bamboo,Wall,10757,528,1174
PISHIN DISTRICT,Others,Wall,6700,152,995
PISHIN DISTRICT,Rcc / Rbc,Roof,2285,257,181
PISHIN DISTRICT,Cement / Iron Sheets,Roof,3093,240,201
PISHIN DISTRICT,Garder / T.Iron,Roof,30586,687,816
PISHIN DISTRICT,Wood / Bamboo,Roof,73757,2078,8076
