district,hh_anysource,radio,tv,newspaper,telephone,mobile,computerinternet
BANNU DISTRICT,115308,9897,16229,6743,3305,114397,9416
LAKKI MARWAT DISTRICT,93321,6899,15957,3447,833,92832,6032
DERA ISMAIL KHAN DISTRICT,189124,11750,81734,6224,6639,187175,17172
TANK DISTRICT,40636,4426,6389,1947,511,40396,2528
ABBOTTABAD DISTRICT,209813,13156,130663,14254,12841,207880,27788
BATAGRAM DISTRICT,65531,5289,5571,4882,873,65235,3340
HARIPUR DISTRICT,157384,13083,108497,20772,11636,155514,23255
MANSEHRA DISTRICT,226191,8947,90298,14077,6352,223755,20382
TORGHAR DISTRICT,24767,3521,538,216,110,24594,351
KOHISTAN DISTRICT,40759,19262,2611,3422,6347,39394,847
HANGU DISTRICT,45543,8285,8784,1635,2756,45028,3714
KARAK DISTRICT,70363,7482,13199,4733,1096,69830,4763
KOHAT DISTRICT,115042,6703,41904,4118,4374,113354,12161
MARDAN DISTRICT,300632,21135,105204,26095,8227,298975,40418
SWABI DISTRICT,204623,9954,52587,6972,4963,203388,20856
CHARSADDA DISTRICT,209602,31011,54427,23640,4460,207983,20696
NOWSHERA DISTRICT,189394,13010,97672,18628,6061,187333,28761
PESHAWAR DISTRICT,483940,53015,243817,54564,37504,479705,91656
BUNER DISTRICT,89709,7571,9020,4374,2578,89447,6420
CHITRAL DISTRICT,56250,12071,22790,2758,7751,54846,6655
SHANGLA DISTRICT,85945,10657,6489,1893,2532,85346,2995
SWAT DISTRICT,266032,19961,62721,11915,11977,264670,26646
LOWER DIR DISTRICT,151669,24780,25202,10684,3852,151048,15480
UPPER DIR DISTRICT,115741,11650,6426,4887,1560,115380,3702
MALAKAND PROTECTED AREA,87162,3983,24287,4339,3499,86289,8817
KHYBER AGENCY,105078,40898,10624,12832,3455,91729,6372
KURRAM AGENCY,59611,38473,21907,2954,4575,48862,4064
MOHMAND AGENCY,44272,16676,3124,2228,2188,40866,1003
NORTH WAZIRISTAN AGENCY,37904,30922,4598,2708,6101,13770,1722
ORAKZAI AGENCY,24545,17258,2789,564,8606,14795,580
SOUTH WAZIRISTAN AGENCY,42488,35412,5023,1755,2536,7854,796
BAJAUR AGENCY,118098,59367,5715,5146,3896,115177,3322
FR BANNU,3693,1418,151,53,180,3504,32
FR D.I.KHAN,4438,2044,624,249,532,3419,274
FR KOHAT,11560,3446,978,762,1580,9952,809
FR LAKKI MARWAT,3063,1144,162,26,66,2852,32
FR PESHAWAR,6733,3062,1082,364,247,6367,305
FR TANK,2537,1277,521,59,343,1693,35
ATTOCK DISTRICT,295393,14574,213407,10504,12190,291768,39761
CHAKWAL DISTRICT,256918,8914,188278,10348,13863,252692,26221
JHELUM DISTRICT,200001,7175,164751,7521,21929,197372,29297
RAWALPINDI DISTRICT,873592,64508,750033,78381,105925,863347,227071
BHAKKAR DISTRICT,252652,3992,123363,5980,2895,249201,12305
KHUSHAB DISTRICT,201668,6137,126588,7254,3993,199232,17019
SARGODHA DISTRICT,573412,15589,400725,27137,19116,565885,58831
MIANWALI DISTRICT,230348,12390,157796,6715,6064,226756,17920
GUJRANWALA DISTRICT,736831,13223,607421,34987,47151,727484,103479
GUJRAT DISTRICT,431211,12074,353047,20911,41477,426325,65885
HAFIZABAD DISTRICT,168951,2530,113414,7857,4536,166810,16505
MANDI BAHAUDDIN DISTRICT,247421,9732,176502,9556,10575,245073,29116
NAROWAL DISTRICT,235783,6316,167977,14328,5689,233559,19539
SIALKOT DISTRICT,566319,28798,481746,41930,53667,559071,99312
LAHORE DISTRICT,1734155,144352,1560389,188707,211437,1714475,472351
KASUR DISTRICT,502593,15159,299017,10568,7622,495971,31450
NANKANA SAHIB DISTRICT,207667,4550,149540,6703,3773,204634,15624
SHEIKHUPURA DISTRICT,507733,23076,418297,12325,10875,500006,46408
FAISALABAD DISTRICT,1178024,49191,952830,88165,68045,1160023,166799
CHINIOT DISTRICT,200277,2820,113241,11615,5529,196844,18554
JHANG DISTRICT,394481,8561,169455,16475,8335,389999,26336
TOBA TEK SINGH DISTRICT,327072,7208,234440,20039,13223,322444,34683
SAHIWAL DISTRICT,374488,12868,280549,27647,12634,367773,40144
OKARA DISTRICT,461920,8182,310032,23791,11296,454014,36798
PAKPATTAN DISTRICT,285995,13886,191599,21902,5363,279559,23105
BAHAWALNAGAR DISTRICT,452754,7118,235414,8807,6550,447732,28129
BAHAWALPUR DISTRICT,540332,15865,269803,21654,12954,533361,45574
RAHIM YAR KHAN DISTRICT,663246,12854,372139,16831,12109,654163,48287
DERA GHAZI KHAN DISTRICT,318574,23634,117391,16907,6422,315078,21256
RAJANPUR DISTRICT,231555,8771,73431,5955,1872,228633,9206
LAYYAH DISTRICT,267059,11169,120910,13801,3525,264174,16734
MUZAFFARGARH DISTRICT,604583,24899,252662,33631,7646,594722,25405
MULTAN DISTRICT,727531,27187,495485,52836,28929,716850,79364
KHANEWAL DISTRICT,444899,11232,219984,25866,7995,440530,32274
LODHRAN DISTRICT,248234,7241,122995,10970,1725,245401,13620
VEHARI DISTRICT,434785,21850,257980,39908,10020,428640,39130
JACOBABAD DISTRICT,135322,2681,45927,6934,2544,132191,5154
KASHMORE DISTRICT,152809,5881,39397,6947,3126,150201,6684
KAMBAR SHAHDAD KOT DISTRICT,179122,5701,69002,8764,2812,174803,6916
LARKANA DISTRICT,225908,11309,144122,17139,6468,216706,15596
SHIKARPUR DISTRICT,158901,4337,55900,7695,3319,154640,7117
GHOTKI DISTRICT,233941,6888,83071,18298,5082,227994,10328
KHAIRPUR DISTRICT,327878,7347,141355,18418,5233,318857,14618
SUKKUR DISTRICT,223083,4540,119226,11789,8085,217015,15235
BADIN DISTRICT,241048,18624,65547,19032,4884,233463,11356
DADU DISTRICT,224542,8697,123099,11849,4296,214972,9951
HYDERABAD DISTRICT,398094,21919,337428,41505,29761,383292,72610
JAMSHORO DISTRICT,145676,8244,91540,9906,4845,139355,11793
MATIARI DISTRICT,109561,4873,54523,6227,1486,104606,4896
SUJAWAL DISTRICT,90803,5264,15166,5703,1264,88624,2779
TANDO ALLAHYAR DISTRICT,121571,2630,58255,6002,2148,116003,6212
TANDO MUHAMMAD KHAN DISTRICT,82911,6094,27452,3994,1207,79366,3512
THATTA DISTRICT,130220,8237,29828,6529,1719,126997,4882
KARACHI CENTRAL DISTRICT,530263,39623,465330,77133,73986,522912,184736
KARACHI EAST DISTRICT,493059,28521,404810,79385,97159,486105,203824
KARACHI SOUTH DISTRICT,315711,22802,276917,49658,48011,310422,94014
KARACHI WEST DISTRICT,612623,35205,438060,35863,14256,602835,80274
KORANGI DISTRICT,434040,30091,371006,38358,28609,427557,95395
MALIR DISTRICT,302965,15173,205004,32143,16185,297271,48771
MIRPUR KHAS DISTRICT,226597,7734,92060,12833,4669,221628,11791
THARPARKAR DISTRICT,207694,6786,11967,6607,2018,205537,4311
UMER KOT DISTRICT,155867,6034,37646,8381,2544,152901,6420
SANGHAR DISTRICT,298787,11765,121263,14938,5096,291547,13523
NAUSHAHRO FEROZE DISTRICT,233236,7616,132048,10332,4553,223871,11052
SHAHEED BENAZIRABAD DISTRICT,241192,7776,127315,11575,5213,232369,13109
AWARAN DISTRICT,9169,2461,812,123,176,7051,104
KALAT DISTRICT,43664,6229,7525,3484,925,42056,2309
KHARAN DISTRICT,18053,2748,4228,1323,990,16882,864
KHUZDAR DISTRICT,86087,19345,21578,9295,5113,79539,4667
LASBELA DISTRICT,70708,5351,20245,3832,1192,67423,2853
MASTUNG DISTRICT,33688,3875,8617,1697,908,32771,2018
WASHUK DISTRICT,14014,4951,2836,1372,2994,8969,639
GWADAR DISTRICT,36419,5636,20176,2585,1268,35750,2455
KECH DISTRICT,123122,37834,65051,19596,14992,114489,12211
PANJGUR DISTRICT,35026,12054,22736,6700,5191,33624,3942
JAFFARABAD DISTRICT,67325,2247,26318,1178,771,65970,1595
JHAL MAGSI DISTRICT,21312,1547,3574,371,442,21054,451
KACHHI DISTRICT,37865,3474,12162,1132,616,37279,1028
NASIRABAD DISTRICT,57578,2841,20161,1599,1320,56525,1263
SOHBATPUR DISTRICT,25509,400,7732,388,242,25175,488
CHAGAI DISTRICT,22941,3751,3183,779,1207,22372,749
KILLA ABDULLAH DISTRICT,91448,45359,15478,11734,7401,84603,6352
NUSHKI DISTRICT,19969,3314,7186,2604,1020,19332,3384
PISHIN DISTRICT,116643,47384,21322,20025,7434,110574,10629
QUETTA DISTRICT,265950,25822,154752,23960,23687,262978,57145
DERA BUGTI DISTRICT,24360,9505,7976,463,3479,13141,1611
HARNAI DISTRICT,13570,1861,2445,648,357,13212,406
KOHLU DISTRICT,15161,6606,4056,742,1151,12005,536
SIBI DISTRICT,23924,1109,14591,607,782,23118,1779
ZIARAT DISTRICT,23621,6606,3425,2973,534,21895,1025
BARKHAN DISTRICT,21974,5079,4226,1116,1619,21499,965
KILLA SAIFULLAH DISTRICT,47770,9371,5760,2818,653,47022,1846
LORALAI DISTRICT,49736,7967,11718,2925,1421,49180,2567
MUSAKHEL DISTRICT,21889,4259,1904,224,431,21466,500
SHERANI DISTRICT,17710,6392,326,394,1100,17182,717
ZHOB DISTRICT,35521,6744,7684,2437,1145,33577,1602
